epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4281,1.81085,3.26668,1.43091,0.015,0.57921,0.0472,0.02248,1.46952,3.23466,1.21389,0.00012,0.00012,0.00012
2,79.4026,1.58348,2.83739,1.28944,0.01885,0.72772,0.22406,0.11354,1.58661,3.12276,1.14476,0.000254852,0.000254852,0.000254852
3,119.271,1.48451,2.16656,1.18262,0.0209,0.80693,0.26984,0.1402,1.43549,3.02297,1.08555,0.00038416,0.00038416,0.00038416
4,158.242,1.45103,1.96973,1.21289,0.02256,0.87129,0.19352,0.11299,1.41765,2.93048,1.08542,0.000507924,0.000507924,0.000507924
5,197.706,1.52405,1.69704,1.20306,0.27593,0.09901,0.08092,0.04413,1.48259,2.94479,1.17584,0.000626144,0.000626144,0.000626144
6,237.194,1.49663,1.50163,1.2118,0.43145,0.10396,0.12742,0.07351,1.45697,2.88149,1.17587,0.00073882,0.00073882,0.00073882
7,274.029,1.44338,1.5364,1.23032,0.04292,0.10396,0.05624,0.02441,1.48775,3.00018,1.27135,0.000845952,0.000845952,0.000845952
8,311.359,1.53717,1.61262,1.23727,0.24708,0.08416,0.08083,0.0364,1.57608,2.97585,1.35894,0.00094754,0.00094754,0.00094754
9,347.896,1.4407,1.52078,1.20204,0.54755,0.13366,0.19245,0.09688,1.55841,2.74669,1.30537,0.00104358,0.00104358,0.00104358
10,384.217,1.442,1.46633,1.20185,0.5161,0.13861,0.19384,0.10457,1.5987,2.84502,1.39758,0.00113408,0.00113408,0.00113408
11,420.965,1.4927,1.50253,1.22175,0.45392,0.16337,0.19992,0.10338,1.60675,2.66253,1.41859,0.00121904,0.00121904,0.00121904
12,457.832,1.42392,1.71144,1.22649,0.06908,0.25248,0.051,0.02424,1.63597,3.14551,1.41455,0.00129845,0.00129845,0.00129845
13,494.906,1.47581,1.50595,1.20815,0.06083,0.26733,0.04642,0.02216,1.61652,2.96961,1.4097,0.00137232,0.00137232,0.00137232
14,531.663,1.47622,1.45811,1.22684,0.25722,0.18317,0.16395,0.08577,1.6971,2.51704,1.4956,0.00144064,0.00144064,0.00144064
15,568.802,1.42753,1.35518,1.20206,0.39867,0.35644,0.33282,0.1849,1.60432,2.06105,1.38858,0.0014456,0.0014456,0.0014456
16,605.398,1.62943,1.5907,1.30913,0.51233,0.34653,0.37745,0.19811,1.61517,2.13596,1.35806,0.001406,0.001406,0.001406
17,641.83,1.58198,1.484,1.33615,0.52207,0.38937,0.42895,0.21197,1.68219,2.09384,1.37401,0.0013664,0.0013664,0.0013664
18,677.306,1.45609,1.50005,1.22505,0.62205,0.46535,0.53996,0.28613,1.61189,1.81655,1.34149,0.0013268,0.0013268,0.0013268
19,713.264,1.55103,1.55004,1.22665,0.59877,0.4876,0.48669,0.27149,1.60058,1.70086,1.35339,0.0012872,0.0012872,0.0012872
20,749.517,1.46481,1.45457,1.26451,0.53311,0.55941,0.53985,0.27865,1.63225,1.62188,1.38718,0.0012476,0.0012476,0.0012476
21,785.802,1.40007,1.29235,1.18628,0.54464,0.55446,0.56644,0.30222,1.64493,1.58417,1.37554,0.001208,0.001208,0.001208
22,822.195,1.4165,1.30745,1.20611,0.54392,0.59901,0.59231,0.31287,1.62032,1.64133,1.36988,0.0011684,0.0011684,0.0011684
23,858.776,1.41545,1.45238,1.20514,0.50779,0.62376,0.55533,0.28352,1.63628,1.80104,1.34463,0.0011288,0.0011288,0.0011288
24,895.231,1.40859,1.32124,1.22572,0.6211,0.5495,0.59361,0.30663,1.60883,1.67189,1.31379,0.0010892,0.0010892,0.0010892
25,932.098,1.41999,1.79206,1.25045,0.62552,0.57426,0.61386,0.32644,1.59759,1.58538,1.34016,0.0010496,0.0010496,0.0010496
26,969.566,1.39785,1.22847,1.20464,0.65741,0.57426,0.64532,0.35221,1.58804,1.45864,1.34192,0.00101,0.00101,0.00101
27,1006.26,1.39283,1.26567,1.17771,0.61413,0.58304,0.60222,0.31784,1.60264,1.52679,1.31625,0.0009704,0.0009704,0.0009704
28,1042.76,1.32177,1.22276,1.16688,0.57952,0.59406,0.61032,0.31976,1.58423,1.5354,1.30116,0.0009308,0.0009308,0.0009308
29,1079.24,1.43143,1.27887,1.15732,0.70016,0.51485,0.62387,0.34565,1.53387,1.49373,1.27519,0.0008912,0.0008912,0.0008912
30,1115.72,1.30019,1.13282,1.09806,0.68355,0.59884,0.64517,0.34759,1.58052,1.43682,1.31978,0.0008516,0.0008516,0.0008516
31,1152.2,1.27144,1.15815,1.12221,0.68681,0.63366,0.67298,0.36344,1.60534,1.42681,1.31329,0.000812,0.000812,0.000812
32,1188.63,1.24988,1.25664,1.13852,0.7053,0.59901,0.64211,0.34455,1.60122,1.56885,1.30574,0.0007724,0.0007724,0.0007724
33,1224.96,1.22201,1.12763,1.09344,0.66817,0.5981,0.62449,0.33577,1.59304,1.62599,1.28845,0.0007328,0.0007328,0.0007328
34,1261.54,1.35018,1.46945,1.12329,0.68622,0.58416,0.63154,0.35835,1.52502,1.59624,1.26292,0.0006932,0.0006932,0.0006932
35,1298.15,1.28346,1.07551,1.11419,0.71551,0.59763,0.64966,0.36875,1.53577,1.41499,1.2579,0.0006536,0.0006536,0.0006536
36,1334.99,1.21371,1.0572,1.0926,0.7203,0.61196,0.68114,0.37125,1.57005,1.35026,1.26936,0.000614,0.000614,0.000614
37,1371.34,1.23196,1.05059,1.10815,0.66654,0.64851,0.68783,0.38008,1.56135,1.32419,1.25427,0.0005744,0.0005744,0.0005744
38,1407.65,1.21984,1.22985,1.16715,0.72392,0.62376,0.69256,0.38179,1.55557,1.29844,1.2477,0.0005348,0.0005348,0.0005348
39,1443.98,1.24228,1.08106,1.13269,0.67017,0.64851,0.68587,0.3666,1.5641,1.32307,1.25622,0.0004952,0.0004952,0.0004952
40,1480.5,1.21233,1.05414,1.09577,0.67169,0.66832,0.6973,0.3754,1.53936,1.31176,1.25506,0.0004556,0.0004556,0.0004556
41,1516.82,1.33656,1.18781,1.09284,0.70535,0.65181,0.68144,0.37131,1.53608,1.2977,1.26083,0.000416,0.000416,0.000416
42,1553.01,1.32745,1.13558,1.14014,0.69336,0.64356,0.67686,0.35919,1.55309,1.31867,1.26916,0.0003764,0.0003764,0.0003764
43,1589.22,1.21949,1.12174,1.11217,0.64077,0.65345,0.66387,0.36801,1.54783,1.36841,1.25125,0.0003368,0.0003368,0.0003368
